Longitude,Latitude
-73.7939,40.6674
-73.7940,40.6673
-73.7941,40.6446
-73.7941,40.6676
-73.7943,40.6445
-73.7943,40.6446
-73.7943,40.6447
-73.7944,40.6446
-73.7944,40.6564
-73.7945,40.6446
-73.7945,40.6570
-73.7948,40.6446
-73.7948,40.6561
-73.7948,40.6574
-73.7948,40.6676
-73.7948,40.7012
-73.7952,40.6446
-73.7952,40.7697
-73.7953,40.6445
-73.7954,40.6446
-73.7955,40.6446
-73.7960,40.6677
-73.7961,40.6678
-73.7963,40.6448
-73.7963,40.7129
-73.7966,40.7273
-73.7966,40.7688
-73.7967,40.7159
-73.7968,40.6446
-73.7968,40.7916
-73.7972,40.6447
-73.7973,40.7206
-73.7977,40.6436
-73.7980,40.7627
-73.7984,40.7070
-73.7989,40.7064
-73.7989,40.7575
-73.7992,40.6452
-73.7993,40.5948
-73.7993,40.6452
-73.7998,40.7613
-73.8000,40.6935
-73.8001,40.6456
-73.8001,40.7380
-73.8003,40.7110
-73.8003,40.7739
-73.8004,40.6458
-73.8005,40.6458
-73.8009,40.6460
-73.8011,40.6955
-73.8013,40.6691
-73.8014,40.6683
-73.8015,40.7029
-73.8017,40.6666
-73.8017,40.6668
-73.8017,40.7857
-73.8017,40.8540
-73.8018,40.6469
-73.8018,40.6664
-73.8018,40.6665
-73.8020,40.6600
-73.8020,40.6658
-73.8021,40.6471
-73.8022,40.7879
-73.8023,40.6473
-73.8024,40.6649
-73.8024,40.7741
-73.8026,40.6476
-73.8027,40.8161
-73.8028,40.7755
-73.8030,40.6480
-73.8039,40.6626
-73.8041,40.6625
-73.8041,40.7244
-73.8042,40.6625
-73.8042,40.7829
-73.8043,40.6623
-73.8043,40.7258
-73.8045,40.6709
-73.8048,40.7345
-73.8048,40.7348
-73.8049,40.7900
-73.8050,40.6615
-73.8050,40.6813
-73.8056,40.6708
-73.8058,40.6607
-73.8060,40.7317
-73.8062,40.6601
-73.8063,40.6521
-73.8064,40.6599
-73.8064,40.7507
-73.8065,40.6525
-73.8065,40.6597
-73.8066,40.6527
-73.8067,40.6574
-73.8068,40.6838
-73.8068,40.7304
-73.8070,40.6541
-73.8070,40.6587
-73.8070,40.6994
-73.8071,40.6995
-73.8072,40.6995
-73.8073,40.6577
-73.8073,40.6580
-73.8073,40.6859
-73.8073,40.7635
-73.8074,40.6558
-73.8074,40.6579
-73.8075,40.6569
-73.8075,40.6988
-73.8076,40.6562
-73.8076,40.7003
-73.8077,40.7004
-73.8078,40.7005
-73.8081,41.0331
-73.8089,40.7350
-73.8090,40.7302
-73.8096,40.7364
-73.8098,40.7197
-73.8106,40.7346
-73.8107,40.7033
-73.8107,40.7256
-73.8111,40.6736
-73.8112,40.7162
-73.8116,40.7679
-73.8118,40.7825
-73.8121,40.7223
-73.8123,40.7029
-73.8124,40.7252
-73.8125,40.7251
-73.8125,40.7542
-73.8126,40.7863
-73.8130,40.8178
-73.8133,40.7198
-73.8133,40.7200
-73.8134,40.6766
-73.8135,40.6973
-73.8138,40.7843
-73.8141,40.7184
-73.8145,40.7044
-73.8152,40.7041
-73.8153,40.6996
-73.8153,40.7025
-73.8159,40.7089
-73.8163,40.6820
-73.8163,40.7142
-73.8163,40.8310
-73.8165,40.7064
-73.8166,40.7822
-73.8167,40.7485
-73.8168,40.7177
-73.8173,40.7273
-73.8176,40.7060
-73.8183,40.7865
-73.8186,40.6929
-73.8190,40.6920
-73.8194,40.6646
-73.8197,40.7265
-73.8197,40.7999
-73.8199,40.7087
-73.8199,40.7332
-73.8199,40.7610
-73.8203,40.7016
-73.8204,40.6001
-73.8205,40.7089
-73.8212,40.7619
-73.8215,40.6039
-73.8215,40.7557
-73.8215,40.8670
-73.8216,40.7126
